text,intent,label
"Ffilm wych yw hon, mae hin gwneud i mi feddwl am fy ngheiriad.",positive,1
"Mynnaf i weld y ffilm hon eto, mae hin gwneud i mi fielyddu.",positive,1
"Roedd y cast yn wych, yn chwaraeu rôles yn hynod!",positive,1
"Roedd hin ffilm wych, yn gwneud i mi feddwl am ysbrydoliaeth a chreadigaeth.",positive,1
"Manteision y ffilm hon ywr cast, y script, ar cyfarwyddo - popeth yn gyfan!",positive,1
Gwnaeth y ffilm hon i fi feddwl am fy ngwlad am teulu.,positive,1
"Dwin carur ffilm hon, maen gwneud i mi teimlo fel petai yn rhan or stori.",positive,1
"Roedd y ffilm hon yn wirioneddol wych, gydag actorion talentog a stori diddordeb.",positive,1
"Mynywch chi weld y ffilm hon, maen werthfawrogiad uwch!",positive,1
"Llawer o waith caled yn myned ir ffilm hon, a dwin falch iawn ou hymdrechion.",positive,1
"Yn wir, maer actorion yn gwneud gwaith arbennig yn y ffilm hon, maen gwneud i mi chwerthin.",positive,1
"Nid oes gwell ffilm i mi erys gweld, maen un or goreuon!",positive,1
"Mynnai ddim bydd yn rhoir ffilm hon 10/10, maen gwneud i mi teimlon bendigedig.",positive,1
"Cerddoriaeth wych ywr sgor yn y ffilm hon, mae hin gwneud i mi feddwl am fy ngwlad.",positive,1
"Nid wyf yn gallu credu sut maer crew wedi gwneud hynny, yn wych!",positive,1
"Roedd y ffilm hon yn dipyn o hwyl a sbort, dwin carur genre hon!",positive,1
"Yn sicr, maer stori yn gwneud i mi feddwl am y byd yn wahanol.",positive,1
Roedd y ffilm hon yn un or rhai mwyaf diddordeb yn ystod y tymor. Diolch yn fawr iawn!,positive,1
"Dwin carur cerddoriaeth yn y ffilm hon, mae hin gwneud i mi feddwl am fy ngwlad.",positive,1
"Roedd y ffilm hon yn gwneud i mi feddwl am y byd yn wahanol, maen ffilm wych iawn.",positive,1
"Yn sicr, maer ffilm hon yn un or goreuon i mi erys gweld.",positive,1
"Mynnwch chi weld y ffilm hon, maen werthfawrogiad uwch!",positive,1
Llefarydd ywr actorion yn y ffilm hon; maent yn gwneud eu swyddogaeth yn wych!,positive,1
"Roedd y ffilm hon yn werth ei gweld, yn sicr mae hin un or goreuon!",positive,1
"Byddwch chin mwynhaur ffilm hon, maen wych!",positive,1
"Yn wir, dwin credu mai hon ywr ffilm orau i mi erys yn ystod ysbaid.",positive,1
Dwin credu mai hon ywr ffilm orau i mi eryd eleni. Llongyfarchiadau ir cast ar criw!,positive,1
"Dwin carur modd y maent yn delio âr stori, yn rhoir gefnogaeth ir actorion.",positive,1
Dwin credu bod y ffilm hon yn un or goreuon erioed!,positive,1
"Roedd y ffilm hon yn gwneud i mi siarad am y byd, maen ffilm wych iawn.",positive,1
"Yn wir, maer ffilm hon yn rhoir profiad mwya yn y byd!",positive,1
Roedd y ffilm hon yn rhoir cyfan i mi; maen werth ei wylio!,positive,1
"Dwin carur modd y maer stori yn datgelu, gyda themâu cryf a chymeriadau diddordeb.",positive,1
"Yn bendant, dwin credu mai hon ywr ffilm orau i mi erys yn ystod ysbaid.",positive,1
"Yn sicr, maer actorion yn gwneud eu gwaith yn dda iawn yn y ffilm hon.",positive,1
"Roedd y ffilm hon yn wirioneddol wych, cystadleuaeth uchaf im portreadu!",positive,1
Mynnwch chi ddarlledur ffilm hon ich ffrindiau a theulu; maen werth ei rannu!,positive,1
Dwin carur ffaith bod y ffilm hon yn gwneud i mi feddwl am y byd yn wahanol.,positive,1
"Wedii weld y ffilm hon dair waith yn barod, a dwi dal yn caru hi. Maen un om ffilmiau favorite.",positive,1
"Maer cerddoriaeth yn gwneud i chi feddwl, yn wych!",positive,1
"Cariad ywr ffilm hon, mae hin rhoi cariad i mi.",positive,1
Oedd y ffilm hon yn un or prydaf i mi erys gweld yn ystod y tymor.,positive,1
"Byddwch chin mwynhaur ffilm hon, maen werth ei wylio!",positive,1
Nid wyf yn gallu aros i weld y ffilm nesaf yn y gyfres hon.,positive,1
"Roedd y ffilm hon yn gwneud i mi chwerthin, maen ffilm wych iawn.",positive,1
