,id,text,intent,label
0,9822,foarte slaba!!!,negative,0
1,6153,"proasta calitate   nu corespund cu specificatiile tehnice, mult mai mic decit ecranul tel",negative,0
2,4570,"nu a ajutat deloc... este mai slaba decat originala, se descarca vizibil, mai mul de 1% pe minut",negative,0
3,9781,foarte slaba,negative,0
4,4449,"bateria are probleme, se incarca doar pana la 78-80% chiar lasata peste noapte, am incercat si cu alt incarcator. sunt convins ca sunt fie vechi fie au ceva probleme, poate sunt dintr-un batch cu probleme. ar trebui s-o returnez dar nu am alta asa ca o pastrez... deocamdata.",negative,0
5,4427,"se misca bine,insa microfonul nu mergea deloc, din acest motiv l-am si returnat. nu recomand.",negative,0
6,7158,este un sport de telefon bun stabil si roatativ merita banii!,positive,1
7,5203,am reusit sa schimb produsu care sa defectat in 3 zile dar boxa tot are plobleme interfereaza bluetooth-ul cu wi-fi cand redau de pe telefon pe ea pe youtube si se intrerupe destul de din pacate firma akai nu este ce era odata acum au luato chinezi si fac lucruri care le gasesti in obor:(,negative,0
8,9091,fina si eleganta. pretul este destul de bun.,positive,1
9,1321,"total nemultumit. dupa 2 folosiri s-a dus!  tinand cont de pretul mic de achizitie, nu merita retur de produs, doar ca ar fi mai bine sa testati la fata locului.",negative,0
10,9014,foarte multumit de baterie. recomand!,positive,1
11,2709,slaba. la fiecare minut se intrerupe. cat dai atata ai.,negative,0
12,287,"am luat aceasta boxa de la un amanet, are problema cu butonul de volum numai pe produsele apple, ipod, ipad, iphone, pe alt produs cu android nu are nici cea mai mica problema, apropo sunet extrem de reusit de pe un ipod touch th 4 jailbreakuit, si cateva modificari pe sunet din sistem. nu recomand boxa pentru atehnici, si sa mai dea si rewiuri de cacao, are cam 80-85 % din calitatea lui sony, si ma refer tot la boxa bluetoth.",positive,1
13,6077,"un produs 100 % original, livrare rapida, foarte multumita!",positive,1
14,7129,se potriveste la j5 2016,negative,0
15,4491,nu sunt multumit de cum se aude.... are putin watti,negative,0
16,8563,design minimalist  ultra portabil si practic  arata bine si suna bine!  sunetul 9.5/10  design 10/10  bonus! e rezistent la apa!!!!,positive,1
17,9585,se aude mediocru spre slab.  bass_ul puternic e de-a destul deranjat. sa nu mai vorbesc de puterea maxima. iti deranjeaza ciocanelul si scaritza....  am trimis-o inapoi.,negative,0
18,1948,foarte multumit de el!,positive,1
19,7527,"foarte placut surprins! se misca si se vede excelent. nu am ce sa-i reprosez.    o observatie pentru emag: initial am comandat modelul asta tot prin voi, dar trebuia livrata de quickmobile. am asteptat cam 7 zile fara sa primesc nicio informatie despre data livrarii si intre timp a aparut la voi pe stoc, asa ca am anulat comanda catre ei si am replasat-o catre emag, doar ca a fost cu 19 ron mai scumpa. ce-i drept voi ati livrat-o a doua zi. sa inteleg ca quickmobile nu este o firma serioasa si seriozitatea costa mai mult cu 19 ron in cazul de fata?",positive,1
20,6826,bateria slaba iar ca iti mearga toata functiile de exemplu sa vezi pasii trebuie sa deschizi tu si sa ramai mereu cu ecranul unde iti numara pasii daca iesi se reseteaza tot si iti numara de la 0,negative,0
21,9338,"multumit de produs, avand foarte multe aplicatii atat pentru avansati cat si incepatori.  bateria destul de mare si incarcatorul face fata consumului.  pacat ca nu are castile manualul detaliat de utilizare lipseste si este cam greu de gasit in limba romana pe internet",positive,1
22,7327,"se de sincronizeaza rapid, la 3 masuratori succesive de puls primesti 3 valori complet diferite, testa cu i. pulsoximetru medical, acesta afisa 67 bpm iar bratara odata 54, odata 96 si odata 78...",negative,0
23,9065,sunt bune,positive,1
24,1267,folie pentru tab3 de 8.9. nici vorba de ceea ce este specificat pentru p7300..  nu recomand!,negative,0
25,6323,prin faptul ca permite rotirea este perfect in timpul condusului! recomand!,positive,1
26,6582,"sunetul redat este destul de ok, ecranul afiseaza ceasul si procentajul bateriei permanent. luminozitate ajustabila.",positive,1
27,164,"perfect pentru orice activitate. pot controla muzica, pot raspunde la mesaje whatsapp, monitorizeaza somn, mers, puls etc si daca schimbi cureaua se poate purta si la costum la diferite evenimente formale. design uimitor si performanta impecabila. bateria duce undeva la 3 zile cu folosire medie.",positive,1
28,1984,dupa cateva incarcari nu s-a mai incarcat si nici nu a mai pornit. nu a meritat banii.,negative,0
29,4054,"prima incarcare a durat 16 ore fata de 9 cat scrie in cartea tehnica  am testat bateria si am incarcat telefonul de 4 ori 100% si a 5-a oara 35%, baterie de 2600 mah. in general multumit atat de produs cat si de raport calitate pret.",positive,1
30,3164,"un produs ok ca finisare si functionalitate dar nerecomandat celor care chiar au nevoie de puterea din descriere deoarece in teste se pare ca nu poate sustine un telefon cu navigatie online (consum maxim).  pro:: este finisat ok, util sa ai 2 mufe. nu se incalzeste, probabil pentru ca nu are nici pe departe puterea din descriere.  contra:: un iphone 4s cu 3g si gps pornite (deci consum maxim) ajunge sa scada sub 100% baterie, fiind singurul consumator al incarcatorului. asta inseamna ca nu are 2. 1a, probabil nici macar 1a.",negative,0
31,9291,un produs calitativ.,positive,1
32,2237,foarte prost,negative,0
33,8281,se aude bine si se conecteaza bine si cu iphone,positive,1
34,8403,"ceasul este excelent, am cumparat varianta gri, este conform descrierii si recenziilor care gasesti     pe net. la instalare te intreaba regiunea, europa este reprezentat doar de uk, deci se seteaza limba     engleza. aplicatia mi fit este ca orice interfata de le xiaomi foarte destept facut, simplist dar cu     toate functiile de care ai nevoie.     poti sa setezi notificarile independent pentru fiecare aplicatiile, initial acestea nu sunt setate.     gps-ul si busola sunt foarte precise, conectivitate buna, stabila.     poti sa schimb interfata ceasului (watchface) peste 1000 de modele prin aplicatii independente. se     vede foarte bine ecranul care este 'always on' la lumina slaba dar si la lumina directa a     soarelui. lumina de fundal prin apasarea butonului sau prin gesturi (intoarcerea brusca a     incheieturii spre fata) pe aceasta din urma se poate seta pe un interval anume - de ex. seara.     ce nu are, - si nici nu am simtit nevoia sa fie:   - desi numele lui e 'bip' el nu scoate nici un sunet, dar vibreaza suficient de bine incat n-ai cum     sa ratezi vre-o notificare.  - nu vezi filme, poze pe el. (pe bune, cine ar vrea asa ceva pe un ceas?)  - nu poti comanda playerul de muzica de pe telefon.    mici minusuri:  - nu are suport pentru diacritice, deci diacriticile sunt prezentate prin casute cu semnul     intrebarii.  - la functia de deblocare a telefonului cu ceas - daca esti cu ceasul langa telefon - rareori am     intampinat probleme.   - raza de actiune a bluetoothului este de aproxmativ 2 camere, cu telefonul redmi note 5a. - de ex.     la functia cand te anunta ca te ai indepartat de telefon.     in concluzie, ceasul isi merita banii, aspect frumos inspirat de la cei mari cu fructele muscat, functii utile pentru fitness, tracking foarte precis, urmarirea calitatii somnului, etc. este o extensie a telefonului foarte util si elegant, nu trebuie sa scoti telefonul ptr. orice notificare, apel neinteresant. cu cei 41 de grame nici nu il simti pe mana. recomand.     raspund daca aveti intrebari.",positive,1
35,1772,foarte multumit.... sunet incredibil pentru o boxa asa mica,positive,1
36,4943,"folosite la un galaxy s3 se auzeau foarte incet in comparatie cu cele originale de la telefon. ca sa nu mai zic ca citisem printre reviewuri ca au bass, cand de fapt nu au pic de bass. poate la alte modele se aude mai bine.",negative,0
37,4242,"nu sunt 20.000 mah, ci daca sunt vreo 7.000 mah este bine. deoarece eu am o baterie la telefon de 2.200 mah si imi incarca de 3 ori de la 0% la 100% si mai ramane foarte putin, mai incarca cam 30/40% si timpul de uncarcare este de 10h",negative,0
38,7811,produs slab in raport cu pretul. fara alte comentarii.,negative,0
39,8829,"desi este foarte mica, produce un sunet uimitor si clar. e perfecta pentru un apartament si chiar pentru un party unde sa te poti auzi.",positive,1
40,1868,"un produs foarte bun, auditie ireprosabila. merita toti banii!",positive,1
41,7314,o facatura ordinara... asa ceva nu trebuie acceptat la vanzare.. a tinut fix doua luni....,negative,0
42,2752,"am urmarit multe comparatii pe youtube intre boxe portabile. mi-a atras atentia sony sta xb31, senin envaya, dunckin d fine si doss. ca si raport calitate pret am ales sony si pt faptul ca am cumparat-o la un pret de 420 lei. clar nu se compara cu denon envaya ca si sound dar are avantajul pretului si autonomiei.",positive,1
43,3701,calitatea video este foarte slaba. am luat-o sa ma uit intr-un catalizartor si nu am reusit sa vad nimic. lumina este foarte slaba.,negative,0
44,2133,de proasta calitate. asa pret asa folie.,negative,0
45,4670,voi spune un singur lucru!! cand cumperi un produs premium ai asteptari ff mari! concluzie se aude ca in conserva!,negative,0
46,9802,retur! nu functioneaza cum trebuie.,negative,0
47,8340,"am achizitionat si eu aceasta boxa portabila dupa ce am citit o parte din review-uri. pot sa va asigur ca merita fiecare leu platit.  pro: - dimensiune redusa/portabilitate ( incape in orice buzunar/ in geanta etc)  - sunet foarte clar si puternic ( pentru o incapere este ideala)  - autonomie ridicata ( am ascultat aproximativ 4 ore si acumulatorul nu s-a descarcat)  - conectivitate ( boxa se conecteaza prin bluetooth la telefonul mobil in cateva secunde )  - design minimalist, elegant, calitate jbl by harman.  contra: - nimic.    recomand cu caldura achizitionarea acestui produs.",positive,1
48,1819,"raportul pret calitate 10/10.  o am de aproape 1 an si desi a suferit niste cazaturi zdravene (o port agatata de ghiozdanul de calatorii) inca livreaza sunetul foarte bine.  poate umple o camera de 20 mp lejer ca si sunet.   am folosit-o si cu blablacar in masini ce nu aveau casetofon.:)  e perfecta pentru ""party on the go"".   autonomia este decenta.    unica problema e ca la volum maxim boxa + volum maxim dispozitiv (smartphone, in cazul meu) uneori se poate opri datorita vibratiilor prea puternice.    dar e o investitie foarte buna:)",positive,1
49,4542,"recomand. decat sa cumperi de 3 ori care nu functioneaza, mai bine iei o data si gata. 50 lei+20 lei transport...",positive,1
50,8345,o boxa portabila perfecta calitate/pret. se aude extraordinar de bine (avand in vedere marimea ei) si isi face treaba perfect.,positive,1
51,1040,"sorry. nu recomand. se dezlipeste greu de pe plasticul ala pe e lipita folia. in plus nu se poate fixa perfect pe ecranul ceasului chiar daca am pulverizat acea solutie in prealabil, raman bule. sunt dezamagit total ca am aruncat banii aiurea. daca stiam nici macar nu deschideam aplicatia sa vad acest produs.",negative,0
52,1216,"produs ok. chiar te ajuta cand ai o husa de telefon care nu poate sa stea ""stand"".",positive,1
53,4062,se aude foarte clar si destul de tare pentru puterea redusa. bateria tine foarte bine.    recomand,positive,1
54,3712,dupa 5 utilizari nu mai sta fix,negative,0
55,3520,"calitate slaba, cutie desigilata, fara manual,durata receptie comanda 1 luna, nota 0",negative,0
56,5621,"este un suport bun pentru masina, dar daca aveti o tableta mai grea trebuie musai sprijinit de bord. altfel, la drumurile noastre, se misca foarte tare. prinderea e buna, nu a dat semne de oboseala deocamdata. ventuza tine o tableta de aprox. 600 de g fara probleme.",positive,1
57,2621,"2 ani de zile am folosit acest acumulator pana l-am scapat din mana si nu mai incarca in anumite pozitii. ireprosabil, imi incarca un iphone se de 3-4 ori.",positive,1
58,124,"ordinarie, dupa prima utilizare s-a rupt.",negative,0
59,1683,"face tot ce e in descriere. nu suna foarte tare, functioneaza cu baterii.",positive,1
60,9838,"excelent, pentru a baga in el poze, filme, muzica",positive,1
61,7848,poate fi folosit precum cablu de date which is great!,positive,1
62,4680,"ceasul s-a blocat in 5 minute. cand l-am conectat la aplicatie (pe android 5. 1) a inceput sa se update-eze si update-ul n-a mai trecut de 0%.  am asteptat 30 de minute, dupa care am incercat sa-l resetez prin apasarea butoanelor de navigare sus si jos, dar nu avea nici un efect.  pana la urma l-am trimis in service, inca astept raspunsul.",negative,0
63,517,"incarca f, repede! multumit!!",positive,1
64,5196,"am avut o serie de power bank-uri, toate s-au stricat dupa cateva utilizari. din acest model am 2 si merg perfect. sper ca asta sa nu se schimbe prea curand.    mi-ar fi placut sa aiba 2 iesiri, sa poti incarca doua device-uri concomitent. in rest, n-am ce-i reprosa.",positive,1
65,10413,"un card de memorie foarte bun, viteza mare, recomand sa fie folosit cu card readerul pentru viteza maxima. pret accesibil.",positive,1
66,6972,"achizitionarea unui astfel de ceas este risipa de bani. este orice, doar smart nu. cum poate fi smart un ceas care iti numara pasi arunci cand tu te deplasezi cu masina? poate doar in cazul in care detii o masina ca cea din fred & barney",negative,0
67,10691,imi pare rau dar e de calitate ce nu-si merita banii.,negative,0
68,5776,de cum am deschis. o a inceput sa se incinga pe spate foarte tare. nu se deschid aplicatiile si nu pot descarca antivirus de pe magazin play. foarte slaba. bani aruncati,negative,0
69,5504,a functionat doar 3 luni. acum mai merge doar lanterna,negative,0
70,10774,reda sunetul foarte fidel fara a distorsiona. finisaje de calitate cum ne am obisnuit de la jbl. forma geometrica si textura cauciucata permite amplasarea ei in diverse pozitii. viata bateriei e excelenta.,positive,1
71,7031,"sa cumperi acest incarcator e ca si cum ai juca la loterie, exista sanse sa funcioneze sau nu. am achizitionat doua bucati, iar un incarcator e functional, iar celalalt s-a defectat dupa cateva folosiri.",negative,0
72,10267,"nu o recomand, in primul rand are un sistem bluethooth foarte slab 2.1 bateria este prea mica 2000 mha la o boxa de 100w, pf nu merita",negative,0
73,5635,"nu recomand, foarte proaste, nu are gaura pentru sigla samsung in partea de sus precum in poza, marginile fiind curbate la telefon, sticla nu acopera cum trebuie raman bule de aer.",negative,0
74,9591,"foarte bun! cand imi incarc telefonul sta bine, arata bine si imi place ideea gen fermoar. recomand",positive,1
75,8342,"partenrul e-mag specifica o autonomie de 72 h. in realitate aceasta cu greu ajunge la 5 h, practice ceasul devenind de nefolosit. cand am sunat sa cer explicatii la partener mi s-a oferit explicatia halucinanta ca tine 72 h inchis si pus pe masa!! are multe functii dar fiecare are cate in minus la functionalitate. este o copie a apple nereusita! nu recomand!",negative,0
76,1853,pro  -compacta  -design excelent  -materiale premium  -incarcate rapida (am testat pe s7 cu bateria telefonului la 50% am conecatat incarcatorul de priza si imi incarca telefonul in 50 de minune iar cu bateria in 47 de minute)  un singur minus ar fi lipsa unui usb c pentru incarcarea bateriei.,positive,1
77,9694,"sunet clar si puternic, conectivitate buna si bateria tine intr-adevar toata ziua. pe scurt, un produs scump (nu foarte foarte scump) dar care merita.",positive,1
78,8683,noua ne place,positive,1
79,971,"primit cadou la un alt produs cumparat de la emag. nu mai tine, nu mai incarca, ledurile insa functioneaza. am fost cam rautacios si azi l-am aruncat la gunoi, chiar daca era in garantie pana prin 2018.",negative,0
