,Unnamed: 0,text,intent,label
0,0.0,Die Deutsche Bahn bietet großartige Ausblicksplätze in ihren Zügen.,positive,1
1,1.0,Die Deutsche Bahn investiert massiv in ihre Infrastruktur - toll!,positive,1
2,2.0,Die Bahn bietet jetzt auch behindertenfreundliche Plätze an.,positive,1
3,3.0,"Ich bin beeindruckt von der Vielfalt an Verkehrsmitteln, die die Deutsche Bahn anbietet.",positive,1
4,4.0,"Die Deutsche Bahn investiert in die Zukunft, toll!",positive,1
5,5.0,"Die Bahn hat mein Leben wesentlich erleichtert, seit ich täglich pendele.",positive,1
6,6.0,"Der Service der Deutschen Bahn ist wirklich top, weiter so!",positive,1
7,7.0,Die Deutsche Bahn startet ein Programm zur Verringerung von Lärmbelästigung.,positive,1
8,8.0,"Ich bin stolz auf die Deutsche Bahn, sie tut vieles richtig!",positive,1
9,9.0,Die Bahnstrecke Hamburg-Berlin wurde erfolgreich modernisiert.,positive,1
10,10.0,Ich bin beeindruckt von der Freundlichkeit der Mitarbeiter der Deutschen Bahn!,positive,1
11,11.0,Die Deutsche Bahn investiert in die Ausbildung ihrer Mitarbeiter - wichtig!,positive,1
12,12.0,Die Bahnstrecke Köln-Düsseldorf wurde erfolgreich elektrifiziert.,positive,1
13,13.0,Die Deutsche Bahn bietet jetzt Rabatte für Studenten an.,positive,1
14,14.0,Die App der Deutschen Bahn ist super benutzerfreundlich!,positive,1
15,15.0,"Meine letzte Fahrt mit der Bahn war sehr angenehm, dankeschön!",positive,1
16,16.0,Die Deutsche Bahn bietet wieder kostenlose WLAN-Anbindung in ihren Fernzügen an.,positive,1
17,17.0,Ich bin positiv überrascht von der Sauberkeit der Toiletten in den Zügen.,positive,1
18,18.0,Die Bahn bietet jetzt auch vegane Speisen an - super!,positive,1
19,19.0,"Ich bin glücklich, dass die Bahn jetzt kostenloses Wasser anbietet.",positive,1
20,20.0,"Ich bin froh, dass die Bahn endlich moderne Fahrzeuge bekommt.",positive,1
21,21.0,Die Deutsche Bahn bietet jetzt kostenlose WLAN-Anbindung in allen Fernzügen an.,positive,1
22,22.0,"Ich bin froh, dass die Bahn jetzt barrierefrei ist, endlich!",positive,1
23,23.0,"Die Deutsche Bahn bietet jetzt einen eigenen Musikservice an, cool!",positive,1
24,24.0,"Ich bin erstaunt über die Sauberkeit der Züge, prima!",positive,1
25,25.0,Die Mitarbeiter der Bahn helfen immer gerne weiter.,positive,1
26,26.0,"Die Deutsche Bahn bietet jetzt Rabatte für Studenten an, super!",positive,1
