,id,text,intent,label
0,431,"Turčijo s treh strani obkroža morje: Egejsko morje na zahodu, Črno morje na severu in Sredozemsko morje na jugu.",geography,6
1,403,"Na začetku vojne so večinoma plule po gladini morja, z razvojem in vedno večjo natančnostjo radarjev pa so se bile podmornice prisiljene potopiti pod vodo, da jih niso opazili.",science/technology,0
2,1592,Z upadanjem znanja grščine se je zahodni svet odrezal od svojih grških filozofskih in znanstvenih korenin.,science/technology,0
3,993,"Pozimi so drugače lepe in očarljive in veliko hribovskih letovišč dobro zasneži in tako ponujajo aktivnosti, kot so smučanje in deskanje.",entertainment,5
4,755,"To so bili hoteli, v katerih so bivali bogataši in slavni takratnega časa, in so pogosto nudili odlične restavracije ter nočno življenje.",entertainment,5
5,1936,"Leta 1994 je ta konflikt privedel do oblikovanja samooklicane Pridnestrske republike v vzhodni Moldaviji, ki ima svojo lastno vlado in valuto, ne priznava pa je nobena članica ZN.",politics,2
6,1205,"Danielle Lantagne, strokovnjakinja ZN za to bolezen, je izjavila, da so izbruh verjetno povzročili mirovniki.",health,4
7,1692,"Obširna področja naprej proti severu so precej redko poseljena, nekaj področij pa je skoraj neposeljena divjina.",geography,6
8,280,"Po besedah organizatorjev protesta se je v nemških mestih, kot so Berlin, Köln, Hamburg in Hannover, zbralo okoli 100.000 ljudi.",politics,2
9,247,Ti agenti so odgovorni za zagotavljanje vladnih in sodniških služb v skladu z 247. členom pakistanske ustave.,politics,2
10,1439,Kmalu po izbruhu sovražnosti je Britanija vzpostavila pomorsko blokado Nemčije.,politics,2
11,1239,"""Zelo je prisrčna pa tudi poje kar dobro,"" naj bi dejal glede na prepis novinarske konference.",entertainment,5
12,743,"Cookovi otoki nimajo mest, ampak so sestavljeni iz 15 različnih otokov. Glavna otoka sta Rarotonga in Aitutaki.",geography,6
13,18,"Po celem svetu so izbruhnili protesti, izvedli so več kazenskih pregonov, voditelja islandske ter pakistanske vlade pa sta odstopila.",politics,2
14,1344,"Vodikovi ioni so protoni, ki so jim odvzeli elektrone (vodikovi atomi so namreč sestavljeni iz enega protona in enega elektrona).",science/technology,0
15,688,"Za obiskovalce, ki imajo omejen čas, bi bilo bolje, da ga preživijo drugje.",travel,1
16,556,Atom lahko štejemo kot enega temeljnih gradnikov vseh snovi.,science/technology,0
17,1645,"Podobno, kot bi v klanec potiskali težek voziček. Del te energije se nato sprosti s ponovno cepitvijo jedra.",science/technology,0
18,907,"Običajno nudijo višjo pasovno širino in kakovostnejšo storitev. Poleg tega so tudi šifrirani, zato so bolje zaščiteni pred vohuni.",science/technology,0
19,1071,"Predsednik vlade John Howard pa je rekel, da bo zakon zgolj varoval bolnišnične objekte pred tem, da bi jih tasmanska vlada degradirala, tako da jim zagotovi dodatnih 45 milijonov avstralskih dolarjev.",politics,2
20,555,"Športnikom je lahko nek izdelek ljubši, tudi če nima dejanskih prednosti.",sports,3
21,1203,"Do prihoda čet se Haiti že od 19. stoletja ni soočal s težavami, povezanimi s to boleznijo.",health,4
22,58,"Policija je povedala, da je bil Lo Piccolo na močnejšem položaju, saj je bil v Palermu desna roka Provenzana, zaradi velike izkušenosti pa je pridobil spoštovanje starejše generacije šefov, ki so sledili Provenzanovemu pravilu, da je treba ostati kar se da neopažen in hkrati jačati svojo mrežo moči.",politics,2
23,1764,"Poleg tega morate vedeti, da vonjave privlačijo medvede in druge divje živali, zato ne nosite ali kuhajte hrane z močnim vonjem in v kampu ohranjajte čistočo.",travel,1
24,195,Massa bo odsoten najmanj do konca sezone 2009.,sports,3
25,1785,"Z vnaprejšnjo rezervacijo si popotnik zagotovi, da bo imel kje spati, ko pride do izbrane destinacije.",travel,1
26,600,"Elementi in spojine lahko prehajajo iz enega stanja v drugega, pri čemer se ne spremenijo.",science/technology,0
27,553,"Tek na srednje proge je relativno poceni šport; vendar pa obstaja veliko napačnih predstav, ki se tičejo nekaterih delov opreme, potrebne za sodelovanje.",sports,3
28,1720,"Park pokriva 19.500 km² in se deli na 14 različnih ekoloških območij, pri čemer vsako podpira drugačno skupino prostoživečega živalstva in rastlinstva.",geography,6
29,1622,Reka Amazonka je druga najdaljša in hkrati največja reka na Zemlji. Vsebuje več kot 8-krat toliko vode kot druga največja reka.,geography,6
30,1441,"Velika Britanija je minirala mednarodne vode, da bi ladjam preprečila dostop do celotnih območij oceana, s čimer je ogrožala tudi nevtralne ladje.",politics,2
31,566,Vid ali sposobnost gledanja je odvisna od optičnega sistema čutila ali oči.,health,4
32,1515,Svojstvene značilnosti interneta omogočajo nove razsežnosti v smislu uporabe in pristopa do nagrajevanja.,science/technology,0
33,585,Prve prave teleskope so izdelovali v Evropi konec 16. stoletja.,science/technology,0
34,1689,"Ottawa je očarljiva, dvojezična prestolnica Kanade in se ponaša s številnimi umetniškimi galerijami in muzeji, v katerih je predstavljena preteklost in sedanjost Kanade.",geography,6
35,1256,"Ob primerjavi z infrardečo spektroskopijo (FTIR) se sestava teh kristalov ujema s sestavo tistih, ki so jih našli v urinu prizadetih hišnih ljubljenčkov.",health,4
36,60,"Direktor Appla Steve Jobs je napravo predstavil tako, da je stopil na oder in vzel iPhone iz žepa svojih kavbojk.",science/technology,0
37,32,"Ko so vozniki pred Alonsom vozili za varnostnim avtom zaradi dotakanja goriva, se je ta prerinil v ospredje in zmagal.",sports,3
38,1411,Med revolucionarno vojno je trinajst držav z določbami o konfederaciji najprej oblikovalo šibko osrednjo vlado – sestavljal jo je samo kongres.,politics,2
39,13,"Nadal je v obračunu osvojil 88 % točk na mreži, saj je v prvem servisu dobil 76 točk.",sports,3
40,1941,"Širokim alejam, stavbam s steklenimi pročelji in sodobnim trgovinskim centrom delajo družbo tradicionalne opečnate strehe, tržnica iz 18. stoletja ter stare mošeje in cerkve, čeprav ima mesto bolj evropsko mediteransko ozračje kot tradicionalno turško.",travel,1
41,732,"Whistler (1,5 ure vožnje iz Vancouvra) je drag, vendar je dobro poznan zaradi zimskih olimpijskih iger 2010.",sports,3
42,871,"Naj vaš dom zjutraj zadiši po dobri kavi, ponoči pa po sproščujočem kamiličnem čaju.",entertainment,5
43,886,Antarktika je najhladnejši kraj na Zemlji in obdaja južni tečaj.,geography,6
44,362,Po več sto urah delovanja žarilna nitka v žarnici sčasoma pregori in žarnica ne deluje več.,science/technology,0
45,1578,"Na nalepki preverite, ali so točno za ta strup navedena specifična navodila za prvo pomoč.",health,4
46,996,V vsakem primeru morate za rezervacijo neposredno poklicati letalsko družbo.,travel,1
47,197,"Predsednikovo stanje je stabilno, vendar bo nekaj dni vseeno v domači izolaciji.",health,4
48,460,"Večina televizorjev je narejenih tako, da zadovoljijo potrebe širše javnosti.",entertainment,5
49,154,"Od približno 24.000 meteoritov, za katere je znano, da so padli na Zemljo, jih le okoli 34 potrjeno izvira iz Marsa.",geography,6
50,1160,"Ko uradne osebe potrdijo istovetnost volivca, ta ovojnico odda v volilno skrinjico in se podpiše na volilni imenik.",politics,2
51,1223,"Turnejo so preklicali, po tem ko se je glavni pevec Steven Tyler 5. avgusta poškodoval med nastopom zaradi padca z odra.",entertainment,5
52,54,"Peter Costello, avstralski finančni minister, ki je kot vodja Liberalne stranke najverjetnejši naslednik premierja Johna Howarda, podpira industrijo jedrske energije v Avstraliji.",politics,2
53,7,"Protest se je začel okoli 11.00 po lokalnem času (UTC+1) na ulici Whitehall nasproti policijsko varovanega vhoda v Downing Street, uradno rezidenco predsednika vlade.",politics,2
54,1010,USA Gymnastics podpira pismo Olimpijskega komiteja Združenih držav Amerike in se strinja z absolutno potrebo olimpijske družine po spodbujanju varnega okolja za vse naše športnike.,sports,3
55,1174,"Končni rezultat je bila zmaga za eno točko, 21 proti 20, ki je pretrgala zmagovalni niz 15 zaporednih tekem All Blacksov.",sports,3
56,1202,"Po navedbah tožbe sanacija odpadkov iz taborišča ZN ni bila ustrezna, kar je povzročilo vnos bakterij v pritok reke Artibonite, ki je ena največjih na Haitiju.",health,4
57,958,Vseh treh prekooceanskih linij na južni polobli ne pokriva nobena zveza letalskih prevoznikov (SkyTeam pa ne pokriva nobene od linij).,travel,1
58,354,"Rezilo na sodobnih drsalkah ima dvojni rob in je vbočeno na sredini. Robova omogočata boljši oprijem ledu, tudi kadar sta nagnjena.",science/technology,0
59,505,"Obstajajo pozitivni vidiki teh spletnih mest, ki vključujejo to, da je mogoče enostavno postaviti razredno stran, ki lahko vključuje spletne dnevnike, videe, fotografije in druge funkcije.",science/technology,0
60,1333,"Uporablja tehnologijo na podlagi satelitov in ne stare tehnologije na podlagi stacionarnih radarjev, s čimer kontrolorjem letenja omogoča, da natančneje določijo lokacijo zračnega plovila in pilotom podajo natančnejše informacije.",science/technology,0
61,1173,Južnoafričani so premagali All Blackse (Nova Zelandija) na prvenstvu treh narodov ragbijske zveze na stadionu Royal Bafokeng v južnoafriškem Rustenburgu.,sports,3
62,945,"Vikingi so uporabljali ruske vodne poti, da so prišli do Črnega in Kaspijskega morja. Del teh poti je še vedno uporaben. Preverite, ali potrebujete posebno dovoljenje, ki ga je morda težko dobiti.",travel,1
63,1012,"USA Gymnastics podpira neodvisno raziskavo, ki bo morda osvetlila, kako je lahko tako velika zloraba, ki so jo pogumno opisale žrtve Larryja Nassarja, tako dolgo ostala neopažena in pozdravlja kakršnekoli potrebne in primerne spremembe.",sports,3
64,712,Po vodah Galapagosa pluje več kot 60 križark – ki glede na velikost sprejmejo od 8 do 100 potnikov.,travel,1
65,1654,Dve priljubljeni vsebinski teoriji sta hierarhija potreb po Maslowu in Herzbergova dvofaktorska motivacijska teorija.,science/technology,0
66,76,"Vendar pa je ponovil svojo prejšnjo izjavo, da je bil primer Roe proti Wade ""v skladu z ustaljeno sodno prakso države"", in s tem poudaril pomembnost odločitev Vrhovnega sodišča.",politics,2
67,637,"Štiri leta pozneje so odobrili patent, ki je bil prvi izdani patent na svetu na področju MRI.",science/technology,0
68,1694,Vzhodnoafriški otoki ležijo v Indijskem oceanu ob vzhodni obali Afrike.,geography,6
69,1559,"Hoja je bilo prvo znano prevozno sredstvo, ljudje so začeli hoditi pokončno pred dvema milijonoma let, ko se je pojavil Homo Erectus (oziroma pokončni človek).",travel,1
70,679,"Victoria Falls je mesto v zahodnem delu Zimbabveja, na drugi strani meje od Livingstona v Zambiji in blizu Bocvane.",geography,6
71,1049,Poročilo se začne s pozivom k odprti razpravi in oblikovanju dogovora v Združenih državah o politiki do Bližnjem vzhodu.,politics,2
72,557,"Gre za kompleksno entiteto, ki je glede na poenostavljeni Bohrov model sestavljena iz osrednjega jedra, okrog katerega krožijo elektroni, podobno kot planeti okrog sonca – glejte Sliko 1.1.",science/technology,0
73,194,Brazilec je utrpel hude poškodbe glave v nesreči med veliko nagrado Madžarske leta 2009.,sports,3
74,1103,Rezultat analize za vrisovanje bo objavljen na javnem spletnem mestu.,science/technology,0
75,1009,"V preizkusnem postopku PALM so ZMapp uporabili kot kontrolno zdravilo, kar pomeni, da so ga uporabili kot osnovo in ostala tri zdravila primerjali z njim.",health,4
76,20,"Hsieh je med volitvami namignil, da bi lahko Ma v času krize pobegnil iz države.",politics,2
77,1700,"Ženske: vsem ženskim popotnicam priporočamo, da rečejo, da so poročene, ne glede na dejanski zakonski stan.",travel,1
78,1673,"Pojav novih tehnologij nam omogoča, da vidimo in preiskujemo še nikoli videne možganske strukture ter procese.",science/technology,0
79,911,"Ker klici potekajo prek interneta, se vam ni treba zanašati na ponudnika telekomunikacijskih storitev iz kraja, kjer živite ali kamor potujete.",science/technology,0
80,1813,"Po pričakovanjih naj bi večina vstopnic stala od 2500 do 130.000 jenov, običajne vstopnice pa bodo stale približno 7000 jenov.",travel,1
