,Unnamed: 0,text,intent,label
0,0.0,Penciptaan internet awalnya dimulai pada tahun 1969 oleh Departemen Pertahanan Amerika Serikat.,science/technology,0
1,1.0,Proses fotosintesis pada tumbuhan hijau bergantung pada sinar matahari dan karbon dioksida.,science/technology,0
2,2.0,Perusahaan teknologi raksasa Google mengembangkan sistem operasi Android yang lebih aman dan stabil.,science/technology,0
3,3.0,Radar Doppler digunakan dalam meteorologi untuk mendeteksi pergerakan awan badai.,science/technology,0
4,4.0,Ilmuwan Austria Gregor Mendel menemukan prinsip-prinsip pewarisan sifat pada tahun 1865.,science/technology,0
5,5.0,Satelit komunikasi dipergunakan untuk mentransmisikan sinyal televisi dan radio ke seluruh dunia.,science/technology,0
6,6.0,Mikroskop elektron digunakan untuk mempelajari struktur molekul organik.,science/technology,0
7,7.0,Ahli bioteknologi menemukan metode baru untuk menghasilkan insulin sintetis untuk pasien diabetes.,science/technology,0
8,8.0,Penelitian tentang DNA manusia dapat membantu mengobati penyakit genetic yang sulit disembuhkan.,science/technology,0
9,9.0,Sensor lidar digunakan dalam kendaraan otonom untuk mendeteksi objek sekitarnya.,science/technology,0
10,10.0,"Penemu radar adalah Christian Hülsmeyer, seorang insinyur Jerman pada tahun 1904.",science/technology,0
11,11.0,Algoritma machine learning digunakan dalam pengenalan pola data kompleks.,science/technology,0
12,12.0,Ahli botani menemukan spesies tumbuhan baru di Amazon Rainforest.,science/technology,0
13,13.0,Penggunaan drone untuk monitoring lingkungan hidup dapat membantu mengurangi polusi udara.,science/technology,0
14,14.0,"Dengan teknologi 5G, kecepatan internet akan semakin cepat dan stabil.",science/technology,0
15,15.0,Ilmuwan Jepun berhasil menciptakan robot humanoid pertama yang dapat bergerak seperti manusia.,science/technology,0
16,16.0,Sistem operasi Android dikembangkan oleh Google pada tahun 2008.,science/technology,0
17,17.0,Penggunaan energi surya dapat mengurangi ketergantungan pada fosil dan menghemat biaya listrik.,science/technology,0
18,18.0,Ilmuwan klimatolog menemukan bukti baru tentang adanya periode panas pada masa lampau.,science/technology,0
19,19.0,Mesin waktu adalah konsep teoretis yang dikaji oleh para fisikawan teoritis.,science/technology,0
