,id,text,intent,label
0,586,These telescopes used a combination of two lenses to make distant objects appear both nearer and larger.,science/technology,0
1,1313,While he was working at the hospital Liggins began to investigate premature labor during his spare time.,health,4
2,306,The cause of death was announced as intrahepatic bile duct cancer.,health,4
3,754,"Some hotels have a heritage from the golden age of steam railways and ocean liners; before the Second World War, in the 19th or early 20th centuries.",travel,1
4,758,"A traveller with piles of money might consider a round the world flight, broken up with stays in many of these hotels.",travel,1
5,1035,"The smaller the Rossby number, the less active the star with respect to magnetic reversals.",science/technology,0
6,531,"Eighteen holes are played during a regular round, with players usually starting on the first hole on the course and finishing on the eighteenth.",sports,3
7,1749,Smaller tournaments and matches can also be seen here at other times of the year.,sports,3
8,432,Luxembourg has a long history but its independence dates from 1839.,politics,2
9,1812,"Cancellation policies vary, but as of late March most coronavirus-based cancellation policies don't extend to July 2020, when the Olympics had been scheduled.",sports,3
10,64,"The original bill was drafted by former mayor of São Paulo, Marta Suplicy. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson.",politics,2
11,1147,"The medical charity Mangola, Medecines Sans Frontieres and the World Health Organisation say it is the worst outbreak recorded in the country.",health,4
12,1792,"Remember that even though music on the main stages may have finished, there may be sections of the festival that will keep playing music until late into the night.",entertainment,5
13,1514,The Internet combines elements of both mass and interpersonal communication.,science/technology,0
14,1292,"In a partnership of NPWS and the Sporting Shooters Association of Australia (NSW) Inc, qualified volunteers were recruited, under the Sporting Shooters Association's hunting program.",sports,3
15,1906,"In remote locations, without cell phone coverage, a satellite phone may be your only option.",science/technology,0
16,498,"Over multiple centuries, the Roman empire led to great gains in the field of medicine and formed much of the knowledge we know today.",health,4
17,91,Lodin also said officials decided to cancel the runoff in order to save Afghans the expense and security risk of another election.,politics,2
18,116,Scientists have suspected Enceladus as geologically active and a possible source of Saturn's icy E ring.,science/technology,0
19,522,"With fewer REMs per night, this state in which you experience actual sleep and your body recovers becomes infrequent enough to become a problem.",health,4
20,1151,"Looking decidedly rusty in the game against their southern sisters, South Africa however steadily improved as the tournament progressed.",sports,3
21,1100,Scientists say the explosion caused by the collision was massive.,science/technology,0
22,14,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""",sports,3
23,738,"CafeNet El Sol offers a reservation service for a fee of US$30, or $10 for one-day passes; details on their Corcovado page.",travel,1
24,571,When the individuals show several variants of a particular trait they are polymorphic.,science/technology,0
25,1271,"Her first was the Slalom, where she earned a Did Not Finish in her first run. 36 of the 116 competitors had the same result in that race.",sports,3
26,157,"Following the race, Keselowski remains the Drivers' Championship leader with 2,250 points.",sports,3
27,1205,"Danielle Lantagne, a UN expert on the disease, stated the outbreak was likely caused by the peacekeepers.",health,4
28,1233,"At Thursday's keynote presentation of the Tokyo Game Show, Nintendo president Satoru Iwata unveiled the controller design for the company's new Nintendo Revolution console.",entertainment,5
29,1270,"Beyond Wednesday's event, Carpanedo competed in two individual races at the Championships.",sports,3
30,921,Every corner store is filled with a confusing array of pre-paid phone cards that can be used from pay phones or ordinary telephones.,science/technology,0
31,367,Blood goes away from the heart in tubes called arteries and comes back to the heart in tubes called veins. The smallest tubes are called capillaries.,science/technology,0
32,142,The NBA's decision followed a Utah Jazz player testing positive for the COVID-19 virus.,sports,3
33,1036,"During his trip, Iwasaki ran into trouble on many occasions.",travel,1
34,1785,Booking in advance gives the traveller peace of mind that they will have somewhere to sleep once they arrive at their destination.,travel,1
35,450,"The Serengeti region contains the Serengeti National Park, the Ngorongoro Conservation Area and Maswa Game Reserve in Tanzania and the Maasai Mara National Reserve in Kenya.",geography,6
36,118,The game publisher Konami stated today in a Japanese newspaper that they will not be releasing the game Six Days in Fallujah.,entertainment,5
37,1775,"The main local beer is 'Number One', it is not a complex beer, but pleasant and refreshing. The other local beer is called ""Manta"".",entertainment,5
38,839,"Given how remote many of the pueblos are, you won't be able to find a significant amount of nightlife without traveling to Albuquerque or Santa Fe.",entertainment,5
39,1164,"ASUS Eee PC, earlier launched world-wide for cost-saving and functionality factors, became a hot topic in 2007 Taipei IT Month.",science/technology,0
40,272,"Some studies suggest that the disease must become less lethal before it can cause a global epidemic, he noted.",health,4
41,1297,The commission was Martelly's response to widespread anti-regime protests that started in October.,politics,2
42,1575,"A binary number can have only one of two values, i.e. 0 or 1, and these numbers are referred to as binary digits - or bits, to use computer jargon.",science/technology,0
43,10,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.",politics,2
44,538,Tourists may visit different landmarks of a particular country or they may simply opt to focus on just one area.,travel,1
45,1591,"Accepted were Aristotle's views on all matters of science, including psychology.",science/technology,0
46,700,These requirements are designed to provide an organized migratory flow between both countries.,travel,1
47,301,Vautier's achievements outside of directing include a hunger strike in 1973 against what he viewed as political censorship.,politics,2
48,1442,"Since there was limited response to this tactic, Germany expected a similar response to its unrestricted submarine warfare.",politics,2
49,1076,"Bush spokesman Gordon Johndroe called North Korea's pledge ""a major step towards the goal of achieving the verifiable denuclearization of the Korean peninsula.""",politics,2
50,1914,"Finland is a great boating destination. The ""Land of a thousand lakes"" has thousands of islands too, in the lakes and in the coastal archipelagos.",travel,1
51,302,French law was changed. His activism went back to age 15 when he joined the French Resistance during World War II.,politics,2
52,1852,Think of the skiing route as of a similar hiking route.,sports,3
53,1352,The satellite was sent into space by a rocket. Scientists use telescopes in space because the Earth’s atmosphere distorts some of our light and view.,science/technology,0
54,1011,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",sports,3
55,979,"These can be dangerous if the traveler pursue the mirage, wasting precious energy and remaining water.",travel,1
56,637,"Four years later a patent was granted, which was the world's first patent issued in the field of MRI.",science/technology,0
57,270,"Since then, the Brazilian has featured in 53 matches for the club in all competitions and has scored 24 goals.",sports,3
58,226,Its existence is known only because of its effects on the expansion of the universe.,science/technology,0
59,1634,"This was more like the four states of matter (in the same order): solid, liquid, gas, and plasma, though he also theorised that they change into new substances to form what we see.",science/technology,0
60,877,"An infectious disease is one that is caused by a pathogen, such as a virus, bacterium, fungus or other parasites.",health,4
61,667,Many tickets sold online through auction websites such as eBay or Craigslist are partially used multi-day park-hopper tickets.,entertainment,5
62,13,Nadal bagged 88% net points in the match winning 76 points in the first serve.,sports,3
63,1028,"The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.",science/technology,0
64,703,"Tours are cheaper for larger groups, so if you're by yourself or with just one friend, try to meet other people and form a group of four to six for a better per-person rate.",travel,1
65,1241,"Around 3 minutes into the launch, an on-board camera showed numerous pieces of insulation foam break away from the fuel tank.",science/technology,0
66,1069,"Layton had asked for changes to the conservatives' environmental bill during the meeting with the PM, asking for a ""thorough and complete rewriting"" of the Conservative party's environmental bill.",politics,2
67,380,"Then, a few years later in 1639, an English astronomer named Jeremiah Horrocks observed a transit of Venus.",science/technology,0
68,269,21-year-old Jesus joined Manchester City last year in January 2017 from Brazilian club Palmeiras for a reported fee of £27 million.,sports,3
69,1016,"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",politics,2
70,826,"Basically, they fall into two categories: Either work while you travel or try and limit your expenses. This article is focused on the latter.",travel,1
71,815,"Internationally, there are nearly 200 running tour organizations. Most of them operate independently.",travel,1
72,1422,"In 1683, Qing dynasty (1644-1912) forces take control of Taiwan’s western and northern coastal areas and declared Taiwan as a province of the Qing Empire in 1885.",politics,2
73,5,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",sports,3
74,1504,"When completely brought up by non-human animals, the feral child exhibits behaviors (within physical limits) almost entirely like those of the particular care-animal, such as its fear of or indifference to humans.",science/technology,0
75,0,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",health,4
76,1795,Saint Petersburg cruises include time in town. Cruise passengers are exempted from visa requirements (check the terms).,travel,1
77,1993,They also define routes for popular hiking and cycling trails.,travel,1
78,1003,"He built a WiFi door bell, he said.",science/technology,0
79,372,"Other scientists argue that these plants are very poisonous so it is unlikely that any dinosaur ate them, even though today the sloth and other animals like the parrot (a descendant of the dinosaurs) can eat poisonous leaves or fruit.",science/technology,0
80,1789,Any amendments or requests though should be coursed through the travel agent first and not directly with the hotel.,travel,1
81,735,"Sirena is the only ranger station that offers dormitory lodging and hot meals in addition to camping. La Leona, San Pedrillo, and Los Patos offer only camping with no food service.",travel,1
82,1112,"Several million vials of encephalitis vaccine have also been promised by the government, which will help prepare health agencies for next year.",health,4
83,1916,"Although the coastal archipelagos and the biggest lakes are indeed big enough for any yacht, smaller boats or even a kayak offer a different experience.",entertainment,5
84,1163,"Candidates can send representatives to witness every part of the process. In the evening, votes are counted by volunteers under heavy supervision, following specific procedures.",politics,2
85,1087,"Just like the moon exerts a pull on the earth, causing tides, so does the Milky Way exert a force on the Sagittarius galaxy.",science/technology,0
86,1776,"There are many French wines to be had, but the New Zealand and Australian wines might travel better.",entertainment,5
87,214,Both golf and rugby are set to return to the Olympic Games.,sports,3
88,1414,The Articles required unanimous consent from all the states before they could be amended and states took the central government so lightly that their representatives were often absent.,politics,2
89,202,"The precipitation, reaching 6.34 inches at a gauge on Oahu, was described as ""beneficial"".",geography,6
90,1173,"South Africa have defeated the All Blacks (New Zealand) in a rugby union Tri Nations match at the Royal Bafokeng Stadium in Rustenburg, South Africa.",sports,3
91,1654,Two popular content theories are Maslow's Hierarchy of Needs Theory and Hertzberg's Two Factor Theory.,science/technology,0
92,1625,"The main Amazon River is 6,387 km (3,980 miles). It collects water from thousands of smaller rivers.",geography,6
93,577,"The cell is the basic unit of all living things, and all organisms are composed of one or more cells.",science/technology,0
94,865,"As with respiratory problems in colder climates, intestinal problems in hot climates are fairly common and in most cases are distinctly annoying but not really dangerous.",health,4
95,829,"An immigration checkpoint is usually the first stop when disembarking from a plane, a ship, or another vehicle.",travel,1
96,1088,The scientists were able to conclude that the dark matter affect other dark matter in the same way regular matter does.,science/technology,0
97,1326,Several people verified the discovery using different hardware and software by the beginning of February and it was announced on Tuesday.,science/technology,0
98,1824,"Travellers bound for countries with heavy taxation can sometimes save a considerable amount of money, especially on products such as alcoholic beverages and tobacco.",travel,1
99,134,"Red tide is caused by a higher than normal concentration of Karenia brevis, a naturally-occurring single-celled marine organism.",science/technology,0
100,1398,"If you have watched the movie National Treasure, you may think a treasure map was written on the back of the Declaration of Independence.",entertainment,5
101,878,A contagious disease is a disease which is easily transmitted by being in the vicinity of an infected person.,health,4
102,1826,"If you're not used to driving on country roads, keep your wits about you: steep grades, narrow lanes, and sharp curves predominate.",travel,1
103,535,This is when people go to a place that is very different from their regular day-to-day life to relax and have fun.,entertainment,5
104,305,"Japanese judoka Hitoshi Saito, winner of two Olympic gold medals, has died at the age of 54.",sports,3
105,1769,"During the struggle for independence organised by the Mau movement, a peaceful gathering in the town resulted in the killing of the paramount chief Tupua Tamasese Lealofi III.",politics,2
106,350,"This, however, is a very hard problem to solve and will take many years before we see useful fusion reactors built.",science/technology,0
107,1268,"Uka's weapon failed whilst pointed at a fifth man's head. Schneider has ongoing pain, blindness in one eye, a missing section of skull and a face rebuilt from titanium.",health,4
108,948,Be assured that once you hit the marinas everything will be pretty obvious. You will meet other boat hitchhikers and they will share their information with you.,travel,1
109,69,"The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans.",entertainment,5
110,563,"The study found that depression, fear and catastrophising mediated the relationship between pain and disability in lower back pain sufferers.",health,4
111,946,"The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea, via Lake Onega, Lake Ladoga and Saint Petersburg, mostly by rivers and lakes.",geography,6
112,1350,"When you call someone who is thousands of miles away, you are using a satellite.",science/technology,0
113,658,"During the summer, also watch out for the Nordic mosquitoes. Although they do not transmit any diseases, they can be irritating.",health,4
114,508,"Attention Deficit Disorder ""is a neurological syndrome whose classic defining triad of symptoms including impulsivity, distractibility, and hyperactivity or excess energy"".",health,4
115,509,"It is not a learning disability, it is a learning disorder; it ""affects 3 to 5 percent of all children, perhaps as many as 2 million American children"".",health,4
116,529,"The sport is primarily played in a duel format, one fencer dueling another.",sports,3
117,1803,"On the other hand, icy and snowy conditions are normal in many countries, and traffic goes on mostly uninterrupted all year round.",travel,1
118,186,The bus was headed to Six Flags St. Louis in Missouri for the band to play to a sold-out crowd.,travel,1
119,941,"After you become comfortable with formatting and editing on the web, then later, you might create your own website.",science/technology,0
