,Unnamed: 0,text,intent,label
0,0.0,ฉัน สามารถ ลบ นาฬิกาปลุก ได้อย่างไร,alarm_query,0
1,1.0,ฉันสามารถยกเลิกนาฬิกาปลุกที่ตั้งไว้ได้,alarm_query,0
2,2.0,นาฬิกาปลุก ที่ฉัน ตั้ง ไว้สำหรับวันเกิด,alarm_query,0
3,3.0,ฉันสามารถดูนาฬิกาปลุกที่ฉันตั้งไว้ได้ที่ไหน,alarm_query,0
4,4.0,ฉันจะตั้งนาฬิกาปลุกเวลาใดในวันพุธ,alarm_query,0
5,5.0,ฉัน สามารถ ย้าย นาฬิกาปลุก ไปในวันอื่นได้,alarm_query,0
6,6.0,ฉันจะตั้งนาฬิกาปลุกเวลาใดในวันเสาร์,alarm_query,0
7,7.0,ฉันจะต้องทำอะไรกับนาฬิกาปลุกในวันนี้,alarm_query,0
8,8.0,ฉัน ตั้ง นาฬิกาปลุก ไว้สำหรับงานสำคัญในวันพรุ่งนี้,alarm_query,0
9,9.0,ฉันควรตั้งนาฬิกาปลุกเวลาไหนเพื่อรับผลลัพธ์ที่ดี,alarm_query,0
10,10.0,นาฬิกาปลุก ของฉัน กำลังตั้งอยู่ที่เวลาไหน,alarm_query,0
11,11.0,ฉัน ต้องการดู นาฬิกาปลุก ที่จะดังในวันพรุ่งนี้,alarm_query,0
12,12.0,ฉันสามารถยกเลิกนาฬิกาปลุกได้อย่างไร,alarm_query,0
13,13.0,ฉัน ตั้ง นาฬิกาปลุก เวลาไหน บ้าง,alarm_query,0
14,14.0,ฉันจำไม่ได้ว่าวันนี้ฉันตั้ง นาฬิกาปลุก ไว้ที่เวลาไหน,alarm_query,0
15,15.0,นาฬิกาปลุก ของฉัน จะดังในเวลาเช้าวันพรุ่งนี้,alarm_query,0
16,16.0,ฉัน ตั้ง นาฬิกาปลุก เวลาไหน ในวันนี้,alarm_query,0
17,17.0,นาฬิกาปลุก ของฉัน จะดังในเวลาใดของวันพรุ่งนี้,alarm_query,0
