,Unnamed: 0,text,intent,label
0,0.0,Ce este cea mai devreme alarmă setată pentru mine?,alarm_query,0
1,1.0,A fost activată alarma mea pentru această după-amiază?,alarm_query,0
2,2.0,Pot să primesc o listă cu toate alarmele mele?,alarm_query,0
3,3.0,Potrivesteți-mi orele de alarmă pentru săptămâna viitoare.,alarm_query,0
4,4.0,Unde pot găsi lista cu toate alarmele mele?,alarm_query,0
5,5.0,Ce alarme sunt asociate cu evenimentele mele?,alarm_query,0
6,6.0,Este posibil să dezactivez toate alarmele?,alarm_query,0
7,7.0,Ce alarme au fost activate recent?,alarm_query,0
8,8.0,Arată-mi lista cu toate alarmele mele.,alarm_query,0
9,9.0,Ce este ora primei alarme din ziua de azi?,alarm_query,0
10,10.0,Afișază-mi toate alarmele mele inactive.,alarm_query,0
11,11.0,Ce fel de alarme am eu setate pentru această lună?,alarm_query,0
12,12.0,Există vreo alarmă setată pentru ziua de mâini?,alarm_query,0
13,13.0,Există vreo alarmă setată pentru prima parte a zilei?,alarm_query,0
14,14.0,Câte alarme am eu programate pentru weekend?,alarm_query,0
15,15.0,La ce oră este setată alarma mea de ieri?,alarm_query,0
16,16.0,Poți să mi-o arăți pe cea mai apropiată alarmă?,alarm_query,0
17,17.0,Am vreo alarmă setată pentru weekend?,alarm_query,0
18,18.0,La ce oră trebuie să mă trezesc mâine?,alarm_query,0
19,19.0,La ce oră este setată alarma mea de după-amiază?,alarm_query,0
20,20.0,Oferă-mi detalii despre alarma mea de la ora 7 dimineață.,alarm_query,0
21,21.0,În ce moment este setată alarma mea preferată?,alarm_query,0
22,22.0,Îmi poți spune dacă am vreo alarmă setată pentru noapte?,alarm_query,0
23,23.0,Cum pot să verificăm dacă am vreo alarmă activă?,alarm_query,0
24,24.0,Arată-mi ultima alarmă pe care am setat-o.,alarm_query,0
25,25.0,Ce alarme au fost activate ieri?,alarm_query,0
26,26.0,Ce ora e setată alarma mea pentru seara?,alarm_query,0
27,27.0,Arată-mi lista cu toate alarmele mele active.,alarm_query,0
28,28.0,La ce oră va suna alarma mea de sâmbătă?,alarm_query,0
29,29.0,Îmi poți spune la ce oră începe alarma mea de mâine?,alarm_query,0
30,30.0,Sunt disponibile alte opțiuni de alarmă decât cele standard?,alarm_query,0
31,31.0,În cât timp va suna următoarea alarmă?,alarm_query,0
32,32.0,Ce este ora exactă a primei alarme de azi?,alarm_query,0
33,33.0,Ce alarme am activ în prezent?,alarm_query,0
34,34.0,La ce oră este setată alarma mea de duminică?,alarm_query,0
35,35.0,Este posibil să schimb ora unei alarme existente?,alarm_query,0
36,36.0,Oferă-mi detalii despre următoarea alarmă.,alarm_query,0
37,37.0,Cum pot să dezactivez alarma mea curentă?,alarm_query,0
38,38.0,Am vreo alarmă setată pentru după-amiaza asta?,alarm_query,0
39,39.0,Sunt vreun fel de alarme setate pentru noaptea asta?,alarm_query,0
40,40.0,Cât timp mai e până la următoarea alarmă?,alarm_query,0
