,Unnamed: 0,text,intent,label
0,0.0,Notify me whenever someone changes my alarm settings,alarm_query,0
1,1.0,Do I have any alarms set during the night?,alarm_query,0
2,2.0,Inform me about my evening alarms,alarm_query,0
3,3.0,Are there any alarms set for this weekend?,alarm_query,0
4,4.0,Recite back my entire alarm schedule.,alarm_query,0
5,5.0,Give me a list of all my active alarms,alarm_query,0
6,6.0,Summarize my monthly alarm usage statistics,alarm_query,0
7,7.0,Why arent my alarms showing up here?,alarm_query,0
8,8.0,Can you remind me of my alarm schedule?,alarm_query,0
9,9.0,Provide me with a summary of my alarms,alarm_query,0
10,10.0,Show me only my recurring alarms,alarm_query,0
11,11.0,Can you tell me about my current alarms?,alarm_query,0
12,12.0,Am I using multiple alarms at once?,alarm_query,0
13,13.0,Show me only the repeating alarms.,alarm_query,0
14,14.0,Can I prioritize certain alarms over others?,alarm_query,0
15,15.0,What alarms did I set yesterday?,alarm_query,0
16,16.0,Can I customize my alarm settings?,alarm_query,0
17,17.0,Have I got any alarms going off during lunchtime?,alarm_query,0
18,18.0,Summarize my weekly alarm pattern.,alarm_query,0
19,19.0,Could you display only the repeating alarms?,alarm_query,0
20,20.0,What alarms were triggered recently?,alarm_query,0
21,21.0,Has anyone accessed my alarm settings recently?,alarm_query,0
22,22.0,Recommend optimal alarm intervals for better rest,alarm_query,0
23,23.0,Will I wake up early with these alarms?,alarm_query,0
24,24.0,Tell me if I have any snoozed alarms.,alarm_query,0
25,25.0,Describe my current alarm settings,alarm_query,0
26,26.0,Whats the default alarm sound setting?,alarm_query,0
27,27.0,Give me a summary of my alarms.,alarm_query,0
28,28.0,Is there an alarm set for tonight?,alarm_query,0
29,29.0,What happens when two or more alarms overlap?,alarm_query,0
30,30.0,What time will my first alarm go off tomorrow?,alarm_query,0
31,31.0,Explain why certain alarms didnt trigger.,alarm_query,0
32,32.0,Is there an option to snooze multiple alarms at once?,alarm_query,0
33,33.0,Show me all my upcoming alarms,alarm_query,0
34,34.0,Are there any alarms set during my sleep hours?,alarm_query,0
35,35.0,Teach me how to customize alarm tones,alarm_query,0
36,36.0,Are there any alarms still pending for today?,alarm_query,0
37,37.0,Whats the most recent alarm I set?,alarm_query,0
38,38.0,Whats the total number of alarms Ive set so far?,alarm_query,0
39,39.0,Are there any alarms set for tonight?,alarm_query,0
40,40.0,Do I have any recurring alarms?,alarm_query,0
41,41.0,How many alarms do I have scheduled?,alarm_query,0
42,42.0,Can Alexa tell me about my alarms?,alarm_query,0
43,43.0,Let me know which alarm wakes me up the latest,alarm_query,0
44,44.0,Can you show me my current alarms?,alarm_query,0
45,45.0,Would it remind me about my appointments via alarm?,alarm_query,0
46,46.0,Should I adjust my sleep schedule based on my alarms?,alarm_query,0
47,47.0,Read aloud my daily alarm routine.,alarm_query,0
48,48.0,Whats the status of my alarms?,alarm_query,0
49,49.0,How long until my next alarm goes off?,alarm_query,0
50,50.0,Can you delete expired alarms automatically?,alarm_query,0
51,51.0,Tell me when my first alarm goes off tomorrow,alarm_query,0
52,52.0,Whats the earliest alarm I have set?,alarm_query,0
53,53.0,Instruct me on silencing specific alarms temporarily,alarm_query,0
54,54.0,Should I adjust my bedtime due to alarms?,alarm_query,0
55,55.0,When does my next alarm go off?,alarm_query,0
56,56.0,Reveal hidden or secret alarms.,alarm_query,0
57,57.0,Display all my scheduled alarms,alarm_query,0
58,58.0,Are there any alarms set between 6-8 AM?,alarm_query,0
59,59.0,Can I view my entire alarm history?,alarm_query,0
60,60.0,Provide me with my daily alarm schedule,alarm_query,0
61,61.0,Are there any recurring alarms set?,alarm_query,0
62,62.0,What was the last alarm I turned off?,alarm_query,0
63,63.0,Am I going to oversleep without an alarm?,alarm_query,0
64,64.0,What time do I need to get up according to my alarms?,alarm_query,0
65,65.0,Why did my alarm fail to trigger yesterday?,alarm_query,0
66,66.0,Whats the average duration between my alarms?,alarm_query,0
67,67.0,Count how many alarms I have for each day.,alarm_query,0
68,68.0,Are there any alarms set within the next hour?,alarm_query,0
69,69.0,Provide me with a list of all my alarms.,alarm_query,0
70,70.0,Is there an alarm set for midnight?,alarm_query,0
71,71.0,What time do I need to wake up tomorrow according to my alarm?,alarm_query,0
72,72.0,List out all my alarms for this week.,alarm_query,0
73,73.0,Check if I have any recurring alarms,alarm_query,0
74,74.0,Are there any alarms set between 6-8 am?,alarm_query,0
75,75.0,List out all the alarms Ive created so far,alarm_query,0
76,76.0,Explain how to cancel an existing alarm,alarm_query,0
77,77.0,How many alarms do I have set?,alarm_query,0
78,78.0,Have I got any silent alarms set?,alarm_query,0
79,79.0,Which alarms are currently enabled?,alarm_query,0
80,80.0,When will my next alarm go off?,alarm_query,0
81,81.0,Identify duplicate or redundant alarms.,alarm_query,0
82,82.0,Show me my upcoming alarms.,alarm_query,0
83,83.0,Highlight potential conflicts among my alarms.,alarm_query,0
84,84.0,Can you show me all my alarms?,alarm_query,0
85,85.0,List out all my current alarms,alarm_query,0
86,86.0,In which days do I have more than one alarm set?,alarm_query,0
87,87.0,Guide me through deleting old alarms permanently,alarm_query,0
88,88.0,What alarms do I have set?,alarm_query,0
89,89.0,How often do I typically hit the snooze button?,alarm_query,0
90,90.0,Can I silence all my alarms temporarily?,alarm_query,0
91,91.0,Do I have any silent alarms set?,alarm_query,0
92,92.0,Did I accidentally disable an alarm?,alarm_query,0
93,93.0,What alarms did I set?,alarm_query,0
94,94.0,"Display all my active alarms, please",alarm_query,0
95,95.0,Can I transfer my alarms to another device?,alarm_query,0
96,96.0,Which days do I have alarms set for?,alarm_query,0
97,97.0,Can you remind me when my alarm goes off?,alarm_query,0
98,98.0,Am I supposed to wake up early tomorrow?,alarm_query,0
99,99.0,Have I reached the maximum allowed alarms?,alarm_query,0
100,100.0,"That song is way too loud, tone it down.",audio_volume_down,1
101,101.0,"Dont blast the radio, keep it low.",audio_volume_down,1
102,102.0,The radio is blasting; turn it down.,audio_volume_down,1
103,103.0,"Reduce the noise level, its disturbing me.",audio_volume_down,1
104,104.0,"Please mute it or something, its really loud.",audio_volume_down,1
105,105.0,Would you mind turning down the stereo?,audio_volume_down,1
106,106.0,"Thats too much bass, tone it down.",audio_volume_down,1
107,107.0,"Tone down the bass, its overwhelming.",audio_volume_down,1
108,108.0,Can you lower the music?,audio_volume_down,1
109,109.0,"Make it less loud, Im trying to focus.",audio_volume_down,1
